1953	Monsieur Hulot's Holiday	Phill Freeman	7.5	Película entretenida para pasar el rato	https.//forummovies.org/reviews/phill_freeman/monsieur_hulot's_holiday_1953
1955	Contraband Spain	Claire Johnson	4.3	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/contraband_spain_1955
1956	Paris Does Strange Things	Paula Lago	6.2	Una buena película para ver con tu pareja	https.//cinemanía.com/paula/paula_lago/paris_does_strange_things_1956
1957	Untamed Woman	Luisa Molina	7.7	Gran película, muy recomendable	https.//foro_pelis.es/luisam/luisa_molina/untamed_woman_1957
1959	The Angry Red Planet	Fermín Álvarez	5.0	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/the_angry_red_planet_1959
1959	The 400 Blows	Fermín Álvarez	8.8	Película entretenida para pasar el rato	https.//forummovies.org/reviews/fermín_álvarez/the_400_blows_1959
1960	Home from the Hill	Paul Pendergast	8.1	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/home_from_the_hill_1960
1961	Cash on Demand	Phill Freeman	7.1	Película entretenida para pasar el rato	https.//forummovies.org/reviews/phill_freeman/cash_on_demand_1961
1961	Look in Any Window	Phill Freeman	6.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/look_in_any_window_1961
1962	The Exterminating oscar	Luisa Molina	8.1	Película entretenida para pasar el rato	https.//foro_pelis.es/luisam/luisa_molina/the_exterminating_oscar_1962
1963	The Sadist	Phill Freeman	6.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_sadist_1963
1963	The Terror	Phill Freeman	5.9	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_terror_1963
1964	The Chalk Garden	Oscar Gutiérrez	6.7	Película entretenida para pasar el rato	https.//palomitas.com/películas/oscar_gutiérrez/the_chalk_garden_1964
1964	Seven Up!	Oscar Gutiérrez	7.3	Un buen documental	https.//palomitas.com/películas/oscar_gutiérrez/seven_up!_1964
1965	Red Beard	Carlos Alonso	9.0	Película entretenida para pasar el rato	https.//palomitas.com/películas/carlos_alonso/red_beard_1965
1965	For a Few Dollars More	Carlos Alonso	8.4	Película entretenida para pasar el rato	https.//palomitas.com/películas/carlos_alonso/for_a_few_dollars_more_1965
1965	Heroes of Fort Worth	Carlos Alonso	4.5	Una película aburrida	https.//palomitas.com/películas/carlos_alonso/heroes_of_fort_worth_1965
1965	Up to His Ears	Carlos Alonso	5.7	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/up_to_his_ears_1965
1966	The Price of Sin	Fermín Álvarez	6.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/the_price_of_sin_1966
1966	Here Is Your Life	Fermín Álvarez	6.4	Gran película, muy recomendable	https.//forummovies.org/reviews/fermín_álvarez/here_is_your_life_1966
1966	Punishment Island	Fermín Álvarez	7.9	Gran película, muy recomendable	https.//forummovies.org/reviews/fermín_álvarez/punishment_island_1966
1967	The Trip	Luisa Molina	6.8	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/the_trip_1967
1967	War and Peace, Part III: The Year 1812	Luisa Molina	8.9	Película entretenida para pasar el rato	https.//foro_pelis.es/luisam/luisa_molina/war_and_peace,_part_iii:_the_year_1812_1967
1967	Wait Until Dark	Luisa Molina	7.1	Película entretenida para pasar el rato	https.//foro_pelis.es/luisam/luisa_molina/wait_until_dark_1967
1967	You Only Live Twice	Luisa Molina	7.0	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/you_only_live_twice_1967
1967	Counterpoint	Luisa Molina	6.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/counterpoint_1967
1969	Paranoia	Oscar Gutiérrez	5.8	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/paranoia_1969
1968	Horus: Prince of the Sun	Paula Lago	7.6	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/horus:_prince_of_the_sun_1968
1970	The Ancines Woods	Paul Pendergast	7.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/the_ancines_woods_1970
1970	Hatchet for the Honeymoon	Paul Pendergast	6.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/hatchet_for_the_honeymoon_1970
1970	The Dunwich Horror	Paul Pendergast	5.6	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/the_dunwich_horror_1970
1970	Skullduggery	Paul Pendergast	5.3	Una película aburrida	https.//forummovies.org/reviews/paul_pendergast/skullduggery_1970
1995	Take It Out in Trade: The Outtakes	Claire Johnson	6.0	Un buen documental	https.//forummovies.org/reviews/claire_johnson/take_it_out_in_trade:_the_outtakes_1995
1971	The Young Seducers	Phill Freeman	5.2	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/the_young_seducers_1971
1971	A Safe Place	Phill Freeman	5.6	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/a_safe_place_1971
1973	The House in Nightmare Park	Fermín Álvarez	5.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/the_house_in_nightmare_park_1973
1973	Sex Thief	Fermín Álvarez	5.2	Una película aburrida	https.//forummovies.org/reviews/fermín_álvarez/sex_thief_1973
1974	Street Law	Oscar Gutiérrez	5.9	Una buena película de acción y suspense	https.//palomitas.com/películas/oscar_gutiérrez/street_law_1974
1974	The Dove	Oscar Gutiérrez	5.5	Una buena película para ver con tu pareja	https.//palomitas.com/películas/oscar_gutiérrez/the_dove_1974
1975	Breakout	Claire Johnson	6.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/breakout_1975
1976	Chinese Roulette	Paula Lago	6.5	Película entretenida para pasar el rato	https.//cinemanía.com/paula/paula_lago/chinese_roulette_1976
1976	The Gumball Rally	Paula Lago	6.3	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/the_gumball_rally_1976
1976	A Star Is Born	Paula Lago	6.8	Una buena película para ver con tu pareja	https.//cinemanía.com/paula/paula_lago/a_star_is_born_1976
1978	The Bees	Carlos Alonso	3.9	Una película aburrida	https.//palomitas.com/películas/carlos_alonso/the_bees_1978
1977	Candleshoe	Luisa Molina	6.4	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/candleshoe_1977
1977	The Devil, Probably	Luisa Molina	6.4	Película entretenida para pasar el rato	https.//foro_pelis.es/luisam/luisa_molina/the_devil,_probably_1977
1978	Notes on the Popular Arts	Carlos Alonso	6.6	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/notes_on_the_popular_arts_1978
1977	Shock Waves	Luisa Molina	5.3	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/shock_waves_1977
1978	Comes a Horseman	Carlos Alonso	6.5	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/comes_a_horseman_1978
1978	Fingers	Carlos Alonso	6.0	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/fingers_1978
1981	Alison's Birthday	Phill Freeman	5.8	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/alison's_birthday_1981
1979	Courage fuyons	Oscar Gutiérrez	6.1	Una buena película para ver con tu pareja	https.//palomitas.com/películas/oscar_gutiérrez/courage_fuyons_1979
1979	Delirium	Oscar Gutiérrez	4.9	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/delirium_1979
1980	Saturn 3	Paul Pendergast	4.3	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/saturn_3_1980
1979	The Kung Fu Instructor	Oscar Gutiérrez	6.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/the_kung_fu_instructor_1979
1979	Screams of a Winter Night	Oscar Gutiérrez	4.2	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/screams_of_a_winter_night_1979
1979	Twice a Woman	Oscar Gutiérrez	6.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/twice_a_woman_1979
1969	Vedo nudo	Oscar Gutiérrez	6.5	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/vedo_nudo_1969
1979	Lesson of a Dead Language	Oscar Gutiérrez	5.7	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/lesson_of_a_dead_language_1979
1980	The Private Eyes	Paul Pendergast	6.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/the_private_eyes_1980
1981	Christiane F.	Phill Freeman	7.4	Película entretenida para pasar el rato	https.//forummovies.org/reviews/phill_freeman/christiane_f._1981
1983	Meantime	Phill Freeman	7.2	Película entretenida para pasar el rato	https.//forummovies.org/reviews/phill_freeman/meantime_1983
1982	Mazes and Monsters	Luisa Molina	3.9	Una película aburrida	https.//foro_pelis.es/luisam/luisa_molina/mazes_and_monsters_1982
1984	Diary for My Children	Oscar Gutiérrez	6.8	Película entretenida para pasar el rato	https.//palomitas.com/películas/oscar_gutiérrez/diary_for_my_children_1984
1983	The Devil and Holy Water	Phill Freeman	4.3	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/the_devil_and_holy_water_1983
1983	Hercules	Phill Freeman	4.7	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/hercules_1983
1983	Seeding of a Ghost	Phill Freeman	5.8	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/seeding_of_a_ghost_1983
1985	Bride's Revenge	Claire Johnson	5.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/bride's_revenge_1985
1984	A Christmas Carol	Oscar Gutiérrez	7.5	Película entretenida para pasar el rato	https.//palomitas.com/películas/oscar_gutiérrez/a_christmas_carol_1984
1984	Electric Dreams	Oscar Gutiérrez	6.9	Una buena película para ver con tu pareja	https.//palomitas.com/películas/oscar_gutiérrez/electric_dreams_1984
1984	Fear City	Oscar Gutiérrez	5.0	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/fear_city_1984
1984	1984	Oscar Gutiérrez	7.5	Una buena película para ver con tu pareja	https.//palomitas.com/películas/oscar_gutiérrez/1984_1984
1984	A Sunday in the Country	Oscar Gutiérrez	8.2	Película entretenida para pasar el rato	https.//palomitas.com/películas/oscar_gutiérrez/a_sunday_in_the_country_1984
1985	D.A.R.Y.L.	Claire Johnson	6.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/d.a.r.y.l._1985
1985	Once Bitten	Claire Johnson	4.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/once_bitten_1985
1985	Real Genius	Claire Johnson	7.5	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/claire_johnson/real_genius_1985
1985	Stick	Claire Johnson	5.0	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/stick_1985
1986	Big Trouble in Little China	Paula Lago	7.3	Película entretenida para pasar el rato	https.//cinemanía.com/paula/paula_lago/big_trouble_in_little_china_1986
1986	Dead End Drive-In	Paula Lago	6.0	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/dead_end_drive-in_1986
1986	Wu ye li ren	Paula Lago	6.2	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/wu_ye_li_ren_1986
1986	Scuola di ladri	Paula Lago	6.7	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/scuola_di_ladri_1986
1987	Back to the Beach	Fermín Álvarez	5.4	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/back_to_the_beach_1987
1987	The Last Emperor	Fermín Álvarez	7.3	Película entretenida para pasar el rato	https.//forummovies.org/reviews/fermín_álvarez/the_last_emperor_1987
1989	Winter adu00e9	Oscar Gutiérrez	7.7	Un buen documental	https.//palomitas.com/películas/oscar_gutiérrez/winter_adu00e9_1989
1988	The Couch Trip	Paula Lago	4.8	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/the_couch_trip_1988
1988	Homeboy	Paula Lago	6.1	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/homeboy_1988
1988	Police Story 2	Paula Lago	6.5	Película entretenida para pasar el rato	https.//cinemanía.com/paula/paula_lago/police_story_2_1988
1988	Mystic Pizza	Paula Lago	6.9	Una buena película para ver con tu pareja	https.//cinemanía.com/paula/paula_lago/mystic_pizza_1988
1989	Bill & Ted's Excellent Adventure	Oscar Gutiérrez	6.2	Una buena película para ver con tu pareja	https.//palomitas.com/películas/oscar_gutiérrez/bill_&_ted's_excellent_adventure_1989
1988	Journey to the Center of the Earth	Paula Lago	1.8	Una película aburrida	https.//cinemanía.com/paula/paula_lago/journey_to_the_center_of_the_earth_1988
1987	R.O.T.O.R.	Fermín Álvarez	3.6	Una película aburrida	https.//forummovies.org/reviews/fermín_álvarez/r.o.t.o.r._1987
1989	Society	Oscar Gutiérrez	6.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/society_1989
1990	Joe Versus the Volcano	Paul Pendergast	5.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/joe_versus_the_volcano_1990
1991	The Lovers on the Bridge	Carlos Alonso	7.6	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/the_lovers_on_the_bridge_1991
1991	Until the End of the World	Carlos Alonso	7.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/until_the_end_of_the_world_1991
1991	Rush	Carlos Alonso	7.1	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/rush_1991
1992	1492: Conquest of Paradise	Luisa Molina	6.2	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/1492:_conquest_of_paradise_1992
1992	Beethoven	Luisa Molina	4.7	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/beethoven_1992
1992	Double Trouble	Luisa Molina	5.0	Una película aburrida	https.//foro_pelis.es/luisam/luisa_molina/double_trouble_1992
1990	All for the Winner	Paul Pendergast	7.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/all_for_the_winner_1990
1992	Gladiator	Luisa Molina	6.3	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/gladiator_1992
1992	Indochine	Luisa Molina	8.0	Una buena película para ver con tu pareja	https.//foro_pelis.es/luisam/luisa_molina/indochine_1992
1994	Joan the Maid 2: The Prisons	Fermín Álvarez	8.0	Película entretenida para pasar el rato	https.//forummovies.org/reviews/fermín_álvarez/joan_the_maid_2:_the_prisons_1994
1993	Nowhere to Run	Phill Freeman	4.9	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/nowhere_to_run_1993
1994	Africa: The Serengeti	Fermín Álvarez	6.3	Un buen documental	https.//forummovies.org/reviews/fermín_álvarez/africa:_the_serengeti_1994
1994	Crooklyn	Fermín Álvarez	7.9	Gran película, muy recomendable	https.//forummovies.org/reviews/fermín_álvarez/crooklyn_1994
1994	Jacob	Fermín Álvarez	6.9	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/jacob_1994
1994	A Place for Annie	Fermín Álvarez	6.6	Película entretenida para pasar el rato	https.//forummovies.org/reviews/fermín_álvarez/a_place_for_annie_1994
1994	The Santa Clause	Fermín Álvarez	6.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/the_santa_clause_1994
1994	Shrunken Heads	Fermín Álvarez	5.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/shrunken_heads_1994
1995	Beyond Rangoon	Claire Johnson	7.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/beyond_rangoon_1995
1996	Bernie	Paula Lago	6.4	Gran película, muy recomendable	https.//cinemanía.com/paula/paula_lago/bernie_1996
1996	Day of the Warrior	Paula Lago	4.0	Una película aburrida	https.//cinemanía.com/paula/paula_lago/day_of_the_warrior_1996
1996	The Daytrippers	Paula Lago	7.1	Gran película, muy recomendable	https.//cinemanía.com/paula/paula_lago/the_daytrippers_1996
1996	The Great White Hype	Paula Lago	4.6	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/the_great_white_hype_1996
1997	Rose Hill	Luisa Molina	5.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/rose_hill_1997
1997	The Assignment	Luisa Molina	6.5	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/the_assignment_1997
1998	The Big Lebowski	Paula Lago	7.5	Película entretenida para pasar el rato	https.//cinemanía.com/paula/paula_lago/the_big_lebowski_1998
1997	Bliss	Luisa Molina	5.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/bliss_1997
1997	G.I. Jane	Luisa Molina	6.7	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/g.i._jane_1997
1997	The Game	Luisa Molina	7.0	Película entretenida para pasar el rato	https.//foro_pelis.es/luisam/luisa_molina/the_game_1997
1997	Kiss or Kill	Luisa Molina	5.8	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/kiss_or_kill_1997
1997	Liar Liar	Luisa Molina	6.8	Una buena película para ver con tu pareja	https.//foro_pelis.es/luisam/luisa_molina/liar_liar_1997
1997	Turbulence	Luisa Molina	4.8	Una película aburrida	https.//foro_pelis.es/luisam/luisa_molina/turbulence_1997
1999	Eyes Wide Shut	Oscar Gutiérrez	7.8	Una buena película para ver con tu pareja	https.//palomitas.com/películas/oscar_gutiérrez/eyes_wide_shut_1999
1999	From Dusk Till Dawn 3: The Hangman's Daughter	Oscar Gutiérrez	5.6	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/from_dusk_till_dawn_3:_the_hangman's_daughter_1999
1997	Two Came Back	Luisa Molina	4.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/two_came_back_1997
1988	Twister's Revenge!	Paula Lago	2.5	Una película aburrida	https.//cinemanía.com/paula/paula_lago/twister's_revenge!_1988
1998	When He Didn't Come Home	Paula Lago	5.8	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/when_he_didn't_come_home_1998
1969	The Girl from Pussycat	Oscar Gutiérrez	4.2	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/the_girl_from_pussycat_1969
1973	When Love Is Lust	Fermín Álvarez	4.8	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/when_love_is_lust_1973
1999	Ladies Room	Oscar Gutiérrez	4.9	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/ladies_room_1999
1998	Croupier	Paula Lago	6.4	Gran película, muy recomendable	https.//cinemanía.com/paula/paula_lago/croupier_1998
1999	Hot Wax Zombies on Wheels	Oscar Gutiérrez	3.1	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/hot_wax_zombies_on_wheels_1999
1999	The Trench	Oscar Gutiérrez	5.3	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/the_trench_1999
2000	Traffic	Paul Pendergast	7.5	Película entretenida para pasar el rato	https.//forummovies.org/reviews/paul_pendergast/traffic_2000
1994	L.A. Wars	Fermín Álvarez	6.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/l.a._wars_1994
2000	The Patriot	Paul Pendergast	6.3	Película entretenida para pasar el rato	https.//forummovies.org/reviews/paul_pendergast/the_patriot_2000
1999	Zero Tolerance	Oscar Gutiérrez	5.7	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/zero_tolerance_1999
1979	Hell	Oscar Gutiérrez	6.1	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/hell_1979
2000	The Convent	Paul Pendergast	4.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/the_convent_2000
2000	The List	Paul Pendergast	4.6	Una película aburrida	https.//forummovies.org/reviews/paul_pendergast/the_list_2000
2000	Timecode	Paul Pendergast	6.3	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/timecode_2000
1984	Desperate Teenage Lovedolls	Oscar Gutiérrez	5.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/desperate_teenage_lovedolls_1984
2000	Disappearing Acts	Paul Pendergast	6.3	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/disappearing_acts_2000
2001	Intimate Affairs	Fermín Álvarez	4.0	Una película aburrida	https.//forummovies.org/reviews/fermín_álvarez/intimate_affairs_2001
2001	The Profession of Arms	Fermín Álvarez	6.9	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/the_profession_of_arms_2001
2000	The Last Musketeer	Paul Pendergast	6.8	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/the_last_musketeer_2000
2000	Sensitive New Age Killer	Paul Pendergast	6.0	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/sensitive_new_age_killer_2000
2002	City by the Sea	Luisa Molina	5.2	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/city_by_the_sea_2002
2003	Gods and Generals	Phill Freeman	5.6	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/gods_and_generals_2003
2002	Miranda	Luisa Molina	4.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/miranda_2002
1975	Black Rose Ascension	Claire Johnson	6.0	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/black_rose_ascension_1975
2004	The Phantom of the Opera	Carlos Alonso	7.2	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/the_phantom_of_the_opera_2004
2002	Nicholas Nickleby	Luisa Molina	7.4	Una buena película para ver con tu pareja	https.//foro_pelis.es/luisam/luisa_molina/nicholas_nickleby_2002
2005	Because of Winn-Dixie	Claire Johnson	6.0	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/because_of_winn-dixie_2005
2005	A Sound of Thunder	Claire Johnson	4.6	Una película aburrida	https.//forummovies.org/reviews/claire_johnson/a_sound_of_thunder_2005
2003	The Last Cowboy	Phill Freeman	5.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_last_cowboy_2003
2003	Seeking Temporary Wife	Phill Freeman	3.7	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/seeking_temporary_wife_2003
2003	High Roller: The Stu Ungar Story	Phill Freeman	5.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/high_roller:_the_stu_ungar_story_2003
